name,h,w,crack_px,crack_px_frac,mean_crack_width,skel_len,n_components,blur,brightness,contrast,phash,source,sid,material,tier,role,h_raw,w_raw,crack_px_raw
crackseg9k__CFD_001,400,400,1916,0.011975,3.962724208831787,465.0,2.0,216.86751225621092,127.65316875,11.273521048635311,80c01fcf396f8b93,crackseg9k,CFD_001,asphalt,A,positive,400,400,1916
crackseg9k__CFD_002,400,400,5169,0.03230625,4.613163948059082,1041.0,3.0,199.56418673437497,129.123575,12.645374815298082,90ed5ada6d90453e,crackseg9k,CFD_002,asphalt,A,positive,400,400,5169
crackseg9k__CFD_003,400,400,2524,0.015775,3.659146547317505,683.0,3.0,108.241355419375,128.69060625,10.113830592681534,808c1f3e161bbb5d,crackseg9k,CFD_003,asphalt,A,positive,400,400,2524
crackseg9k__CFD_004,400,400,2113,0.01320625,3.6286237239837646,532.0,2.0,125.425343109375,128.00921875,10.370775465925798,972c2d6d28d568e5,crackseg9k,CFD_004,asphalt,A,positive,400,400,2113
crackseg9k__CFD_005,400,400,1817,0.01135625,4.09772253036499,421.0,1.0,141.1237410887109,129.1493625,9.914809798659466,923e0d616eeb11f4,crackseg9k,CFD_005,asphalt,A,positive,400,400,1817
crackseg9k__CFD_006,400,400,1790,0.0111875,3.9471402168273926,445.0,2.0,239.11291881234376,132.9935375,10.93069969105792,91bf55dd06b8c618,crackseg9k,CFD_006,asphalt,A,positive,400,400,1790
crackseg9k__CFD_007,400,400,1480,0.00925,3.190063238143921,430.0,2.0,109.68426467871093,127.82696875,9.583125348054436,d4c74ccb2ab14ea3,crackseg9k,CFD_007,asphalt,A,positive,400,400,1480
crackseg9k__CFD_008,400,400,2648,0.01655,4.071756839752197,615.0,1.0,120.66575739746094,126.0365625,9.508805823214278,c09711cb6a7a7a5a,crackseg9k,CFD_008,asphalt,A,positive,400,400,2648
crackseg9k__CFD_009,400,400,2189,0.01368125,4.870119571685791,427.0,1.0,243.09261987402343,126.9822875,10.47547308083715,80957582687de79b,crackseg9k,CFD_009,asphalt,A,positive,400,400,2189
crackseg9k__CFD_010,400,400,1940,0.012125,4.272243976593018,432.0,1.0,91.73341741308595,139.167,8.304377520320232,80d3329d2f65c1be,crackseg9k,CFD_010,asphalt,A,positive,400,400,1940
crackseg9k__CFD_011,400,400,1409,0.00880625,2.975247859954834,458.0,7.0,154.93278120746092,131.12869375,7.939454903751954,c5d148bf0bd04ab7,crackseg9k,CFD_011,asphalt,A,positive,400,400,1409
crackseg9k__CFD_012,400,400,5861,0.03663125,5.532928466796875,999.0,4.0,396.8505491140234,127.9072125,13.637262481152284,c4959b5e56eb6214,crackseg9k,CFD_012,asphalt,A,positive,400,400,5861
crackseg9k__CFD_013,400,400,4818,0.0301125,4.906396389007568,927.0,2.0,318.69682779234375,127.68648125,15.724819148193674,ffbf401433f86124,crackseg9k,CFD_013,asphalt,A,positive,400,400,4818
crackseg9k__CFD_014,400,400,1474,0.0092125,3.396448850631714,420.0,5.0,136.68593445433592,138.58483125,7.855223813426543,c50c65ba1bcd906f,crackseg9k,CFD_014,asphalt,A,positive,400,400,1474
crackseg9k__CFD_015,400,400,1015,0.00634375,3.12736439704895,320.0,1.0,163.27263101839844,138.5305,8.444061952046539,d09554e24fa8e9d6,crackseg9k,CFD_015,asphalt,A,positive,400,400,1015
crackseg9k__CFD_016,400,400,1471,0.00919375,4.039088249206543,340.0,1.0,265.7534482110937,127.42503125,18.581245038654522,b4ab4b961a49d1e9,crackseg9k,CFD_016,asphalt,A,positive,400,400,1471
crackseg9k__CFD_017,400,400,1372,0.008575,3.57576584815979,401.0,3.0,188.93379195214848,128.76235625,8.50140468970193,c472683733bc3726,crackseg9k,CFD_017,asphalt,A,positive,400,400,1372
crackseg9k__CFD_018,400,400,1981,0.01238125,4.056779861450195,443.0,1.0,118.00269498558596,140.6212375,8.6487225339118,d1b64d9a24ed4953,crackseg9k,CFD_018,asphalt,A,positive,400,400,1981
crackseg9k__CFD_019,400,400,3912,0.02445,4.386523723602295,835.0,2.0,310.60463774937506,126.27915625,12.431159058514451,c1d77e1446e93b06,crackseg9k,CFD_019,asphalt,A,positive,400,400,3912
crackseg9k__CFD_020,400,400,2009,0.01255625,3.5333449840545654,532.0,1.0,232.2981513824609,124.60874375,9.885409060673004,818a192f73cb4f5a,crackseg9k,CFD_020,asphalt,A,positive,400,400,2009
crackseg9k__CFD_021,400,400,3630,0.0226875,4.703120231628418,714.0,1.0,413.8470294521485,126.11871875,26.574552434771096,c53e09e21dc57c5a,crackseg9k,CFD_021,asphalt,A,positive,400,400,3630
crackseg9k__CFD_022,400,400,4474,0.0279625,5.9277849197387695,715.0,1.0,187.08398334859376,142.24341875,9.89591600419832,849e60599ae55e9e,crackseg9k,CFD_022,asphalt,A,positive,400,400,4474
crackseg9k__CFD_023,400,400,5788,0.036175,9.51577091217041,555.0,1.0,191.07703124996092,126.81933125,11.876197415535557,d50e09677898a66f,crackseg9k,CFD_023,asphalt,A,positive,400,400,5788
crackseg9k__CFD_024,400,400,3689,0.02305625,5.561208724975586,627.0,3.0,340.9378349375,124.43735,28.795904222258763,f1c15a9608d0e73f,crackseg9k,CFD_024,asphalt,A,positive,400,400,3689
crackseg9k__CFD_025,400,400,1552,0.0097,3.487546682357788,432.0,3.0,133.97951704652345,145.0703875,8.703717343747082,959f25d80305bcde,crackseg9k,CFD_025,asphalt,A,positive,400,400,1552
crackseg9k__CFD_026,400,400,1814,0.0113375,3.667879104614258,477.0,2.0,230.6452520730859,130.672375,9.5289932238078,c0955ead3d4ec0ba,crackseg9k,CFD_026,asphalt,A,positive,400,400,1814
crackseg9k__CFD_027,400,400,2229,0.01393125,4.842069149017334,432.0,1.0,380.3604959498437,125.53203125,12.32501111557403,9416cd653e3ec0e9,crackseg9k,CFD_027,asphalt,A,positive,400,400,2229
crackseg9k__CFD_028,400,400,2815,0.01759375,5.932378768920898,422.0,1.0,248.5333069375,125.90355,11.45450445883627,95349f285f02f678,crackseg9k,CFD_028,asphalt,A,positive,400,400,2815
